Frame,Cell,Intensity_nucleus,Intensity_cytoplasm,Ratio_nucleus_div_cytoplasm,Key,Sample
0,1,2207.8741481144934,884.8919491525423,2.4950776761264084,PKA,PKA_example
0,2,2321.2597156398106,804.6298969072164,2.884878780371095,PKA,PKA_example
0,all,2263.3702157272096,844.2157784743991,2.6810328276704274,PKA,PKA_example
1,1,2243.2803992740473,905.1613588110404,2.4783209948562885,PKA,PKA_example
1,2,2367.298535663675,834.2978283350569,2.8374741672142525,PKA,PKA_example
1,all,2304.0409627401064,869.2655840754321,2.65056043279423,PKA,PKA_example
2,1,2247.0040650406504,903.6095238095238,2.4866980768059137,PKA,PKA_example
2,2,2373.504487482286,838.0,2.8323442571387663,PKA,PKA_example
2,all,2308.837681828677,870.4442700156986,2.6524819122389496,PKA,PKA_example
3,1,2257.308896958693,908.7165605095541,2.4840626825298844,PKA,PKA_example
3,2,2385.908918406072,838.2160621761658,2.8464127879055505,PKA,PKA_example
3,all,2320.191950823475,873.0411641321448,2.6575974262678494,PKA,PKA_example
4,1,2244.4966231427284,899.4830508474577,2.4953184176489502,PKA,PKA_example
4,2,2380.1945894636924,832.8039215686274,2.8580492092069862,PKA,PKA_example
4,all,2310.5584565619224,865.7077888133821,2.668981943351791,PKA,PKA_example
5,1,2225.38986883763,884.6835443037975,2.5154642958674023,PKA,PKA_example
5,2,2348.8390476190475,828.3508771929825,2.8355605242774846,PKA,PKA_example
5,all,2285.5251681744376,856.2086593635889,2.6693553530201912,PKA,PKA_example
6,1,2201.4317359855336,872.5514316012725,2.522982206270124,PKA,PKA_example
6,2,2331.095124282983,818.4828660436137,2.848068323715854,PKA,PKA_example
6,all,2264.4558550185875,845.2334732423924,2.6790891826987506,PKA,PKA_example
7,1,2187.008174386921,890.477801268499,2.4559940419306296,PKA,PKA_example
7,2,2320.5675934803453,817.8921161825726,2.8372538964079466,PKA,PKA_example
7,all,2251.981343283582,853.8429319371728,2.6374655794999153,PKA,PKA_example
8,1,2159.1349887133183,874.2319915254237,2.469750603550783,PKA,PKA_example
8,2,2305.2338787295475,825.2971014492754,2.793216981716532,PKA,PKA_example
8,all,2229.853249475891,849.482722513089,2.6249542108156683,PKA,PKA_example
9,1,2117.6119945479327,884.9978813559322,2.3927876429528565,PKA,PKA_example
9,2,2261.825603864734,825.7344398340249,2.7391683024864117,PKA,PKA_example
9,all,2187.5071411847343,855.0555555555555,2.5583216517006835,PKA,PKA_example
10,1,2092.889652014652,897.8260869565217,2.3310635349315736,PKA,PKA_example
10,2,2229.2023233301065,831.0623052959502,2.6823528261653786,PKA,PKA_example
10,all,2159.1536470588235,864.0939139559287,2.498748819065223,PKA,PKA_example
11,1,2060.7466970387245,886.0893617021277,2.3256646407312083,PKA,PKA_example
11,2,2201.4866828087165,835.8190376569038,2.6339274216345463,PKA,PKA_example
11,all,2128.9692488262913,860.742088607595,2.4734113470276347,PKA,PKA_example
12,1,2035.9112829845315,896.6638477801268,2.2705401673378964,PKA,PKA_example
12,2,2171.1744186046512,839.7357512953367,2.5855448160394507,PKA,PKA_example
12,all,2101.4164711403096,867.916797488226,2.4212188048691576,PKA,PKA_example
13,1,2009.0301232314011,906.2255319148936,2.216920680866532,PKA,PKA_example
13,2,2144.0771096023277,846.1858774662513,2.5338133933673936,PKA,PKA_example
13,all,2074.505525511404,875.8428796636889,2.3685818240687007,PKA,PKA_example
14,1,1986.2879484820608,921.1545842217485,2.1563025169767855,PKA,PKA_example
14,2,2122.66028473245,864.4148380355277,2.455603711704458,PKA,PKA_example
14,all,2052.255758727143,892.5002638522427,2.299445548474261,PKA,PKA_example
15,1,1950.4822080291972,914.0607180570222,2.1338650370789916,PKA,PKA_example
15,2,2084.215192965315,857.8302083333333,2.4296360430285016,PKA,PKA_example
15,all,2015.0614531729182,885.753801782905,2.2749678851130715,PKA,PKA_example
16,1,1938.870642201835,941.1484623541887,2.060111363675763,PKA,PKA_example
16,2,2074.1504164625185,878.5960334029228,2.3607554980974017,PKA,PKA_example
16,all,2004.2831082681828,909.625460284061,2.2034157966975534,PKA,PKA_example
17,1,1914.7482837528605,939.1641949152543,2.0387790485620445,PKA,PKA_example
17,2,2044.5907978463044,879.9009384775808,2.323660208141032,PKA,PKA_example
17,all,1977.4891201513717,909.2990015764582,2.1747402303565546,PKA,PKA_example
18,1,1877.968493150685,926.3503184713376,2.0272767825564166,PKA,PKA_example
18,2,1998.561858190709,872.7904066736183,2.2898531456224807,PKA,PKA_example
18,all,1936.2007083825265,899.3308784850079,2.1529347592781485,PKA,PKA_example
19,1,1847.7954337899544,929.0021164021164,1.9890110056435442,PKA,PKA_example
19,2,1976.7761485826002,870.1066945606694,2.2718778753687277,PKA,PKA_example
19,all,1910.0934844192634,899.3840084166228,2.1237796831433635,PKA,PKA_example
20,1,1821.9881871876419,926.6652542372881,1.9661772995765,PKA,PKA_example
20,2,1951.460591133005,884.7246073298429,2.2057265899076115,PKA,PKA_example
20,all,1884.1080122902388,905.5734597156398,2.0805689390255204,PKA,PKA_example
21,1,1804.5120399818265,922.074894514768,1.9570124408727467,PKA,PKA_example
21,2,1928.9421568627452,885.8196037539103,2.177578988643183,PKA,PKA_example
21,all,1864.3652440462156,903.8426848453067,2.0627098889065003,PKA,PKA_example
22,1,1797.7185218978102,952.6503719447396,1.8870706135640816,PKA,PKA_example
22,2,1927.4613502935422,899.9612970711297,2.1417158232985685,PKA,PKA_example
22,all,1860.323418319169,926.0975224037954,2.008777016798922,PKA,PKA_example
23,1,1764.116924476797,938.6737513283741,1.879371743356292,PKA,PKA_example
23,2,1897.8309582309582,894.1311647429171,2.122542008449764,PKA,PKA_example
23,all,1828.3994802740374,916.2613516367476,1.9954999487950764,PKA,PKA_example
24,1,1749.9995427526292,945.8615221987314,1.8501646400464773,PKA,PKA_example
24,2,1878.8094534711965,896.299055613851,2.0961859121724173,PKA,PKA_example
24,all,1812.0225225225224,920.9889415481832,1.9674747879996377,PKA,PKA_example
25,1,1731.4725274725274,950.0392781316348,1.8225273073737267,PKA,PKA_example
25,2,1861.8066896212495,892.996855345912,2.0848972518498496,PKA,PKA_example
25,all,1794.3061418069717,921.337552742616,1.947501365233321,PKA,PKA_example
26,1,1712.1927820922797,946.9861995753715,1.8080440695545792,PKA,PKA_example
26,2,1842.7865612648222,905.909758656873,2.0341833650152847,PKA,PKA_example
26,all,1774.9323522430573,926.3287598944592,1.9160933235466893,PKA,PKA_example
27,1,1698.4188817598533,948.8027718550106,1.7900652613390486,PKA,PKA_example
27,2,1823.4175257731958,896.8546025104603,2.0331250134292853,PKA,PKA_example
27,all,1758.7702062100025,922.5818373812039,1.9063568509026392,PKA,PKA_example
28,1,1679.8936363636365,943.5871172122492,1.7803270156196542,PKA,PKA_example
28,2,1820.4565646594274,905.7735849056604,2.009836227283041,PKA,PKA_example
28,all,1747.2813535257926,924.6107311941083,1.8897480794639152,PKA,PKA_example
29,1,1672.0635497049477,947.0336842105263,1.765579807331591,PKA,PKA_example
29,2,1800.986220472441,904.7253668763103,1.9906441074937418,PKA,PKA_example
29,all,1733.922077922078,925.8350840336135,1.872819585068917,PKA,PKA_example
30,1,1664.6335006846189,957.9830508474577,1.737644000290025,PKA,PKA_example
30,2,1798.1550272412085,912.2570828961175,1.9711055808222997,PKA,PKA_example
30,all,1728.6667458432305,935.0115972588297,1.8488185076111963,PKA,PKA_example
31,1,1654.5426745778184,955.8928950159067,1.7308870933184264,PKA,PKA_example
31,2,1788.4321782178217,913.0241596638656,1.9588004975424111,PKA,PKA_example
31,all,1718.7689384944194,934.35672823219,1.839521123528851,PKA,PKA_example
32,1,1644.579908675799,955.8663838812301,1.7205123398085145,PKA,PKA_example
32,2,1779.2372208436725,916.4094240837696,1.941530907566301,PKA,PKA_example
32,all,1709.1065398335315,936.0131717597471,1.8259428300782712,PKA,PKA_example
33,1,1631.7571493418066,952.1569459172853,1.7137480919910852,PKA,PKA_example
33,2,1773.9440316988607,913.6401673640167,1.9416221999268535,PKA,PKA_example
33,all,1699.7522501184274,932.766719325961,1.8222694001633204,PKA,PKA_example
34,1,1624.7097516099357,969.3443496801706,1.6760914242147271,PKA,PKA_example
34,2,1768.439303482587,920.2926315789474,1.921605414191433,PKA,PKA_example
34,all,1693.7576481835565,944.6626059322034,1.7929762833283085,PKA,PKA_example
35,1,1614.8395454545455,953.6853220696938,1.6932624505009795,PKA,PKA_example
35,2,1760.2203980099503,923.8468848996832,1.9053161587497103,PKA,PKA_example
35,all,1684.249406175772,938.7661034846885,1.7941097360927907,PKA,PKA_example
36,1,1605.9094219390076,954.03825717322,1.683275707095078,PKA,PKA_example
36,2,1756.3922155688622,929.1398305084746,1.8903421830572813,PKA,PKA_example
36,all,1677.6941204475124,941.5692307692308,1.781806441441265,PKA,PKA_example
37,1,1600.4110707803993,955.4463157894737,1.6750402867564558,PKA,PKA_example
37,2,1746.2277473893585,927.1496311907271,1.8834368139117947,PKA,PKA_example
37,all,1669.9810201660734,941.3054239073197,1.7741117577268934,PKA,PKA_example
38,1,1592.5301587301587,955.2555438225977,1.6671247490042418,PKA,PKA_example
38,2,1732.9058473736372,922.0748155953636,1.8793549265899185,PKA,PKA_example
38,all,1659.6099928960455,938.6476793248945,1.7680861834013057,PKA,PKA_example
39,1,1591.500455373406,963.4250797024442,1.6519192710500583,PKA,PKA_example
39,2,1733.734297108674,926.5437302423604,1.871184532925578,PKA,PKA_example
39,all,1659.4017134697763,944.9063492063492,1.7561546865078743,PKA,PKA_example
40,1,1589.0237010027347,962.9114857744995,1.6502282135773194,PKA,PKA_example
40,2,1722.6646825396826,921.5685863874346,1.8692745260475503,PKA,PKA_example
40,all,1653.0190023752969,942.1748949579832,1.7544715012269714,PKA,PKA_example
41,1,1583.2244058500914,968.0845665961945,1.6354195289123774,PKA,PKA_example
41,2,1720.760696517413,930.9261603375527,1.8484395109204657,PKA,PKA_example
41,all,1649.076703191996,949.4857444561774,1.736810386907402,PKA,PKA_example
42,1,1582.909881061299,975.1361702127659,1.6232706050847467,PKA,PKA_example
42,2,1720.9637896825398,935.7087276550999,1.8392088679083938,PKA,PKA_example
42,all,1649.144217039505,955.3077736647276,1.7262962392874701,PKA,PKA_example
43,1,1573.0878316559927,971.6280295047418,1.6190226958127454,PKA,PKA_example
43,2,1715.234475906607,933.2574152542373,1.8379007204987963,PKA,PKA_example
43,all,1641.2329125982376,952.4933967247755,1.7230911187854403,PKA,PKA_example
44,1,1572.2669990933816,970.9024390243902,1.6193872173946453,PKA,PKA_example
44,2,1710.3779644268775,932.9947643979058,1.8332128214359749,PKA,PKA_example
44,all,1638.3513002364066,951.8287671232877,1.7212668463341323,PKA,PKA_example
45,1,1567.4323956442831,967.240232312566,1.6205202629927036,PKA,PKA_example
45,2,1713.6582626060908,946.3378947368421,1.8108312814448007,PKA,PKA_example
45,all,1637.0521749465177,956.7725355824987,1.7110150156534893,PKA,PKA_example
