Frame,Cell,Intensity_nucleus,Intensity_cytoplasm,Ratio_cytoplasm_div_nucleus,Key,Sample
16,1,738.8054607508533,429.72315789473686,0.5816458874816737,PKA,ERK_example
16,2,1125.9500750750751,291.15225225225225,0.25858362524007916,PKA,ERK_example
16,3,1092.0686037126716,274.62741312741315,0.2514745064492935,PKA,ERK_example
16,4,910.1932938856016,379.0871459694989,0.4164908141117823,PKA,ERK_example
16,all,991.3047715053764,339.7937219730942,0.3427742221568146,PKA,ERK_example
17,1,741.5139697322468,442.9382716049383,0.5973431245872264,PKA,ERK_example
17,2,1122.6855960887551,295.5063063063063,0.26321376824981085,PKA,ERK_example
17,3,1088.1267150928168,274.7898272552783,0.25253476772862693,PKA,ERK_example
17,4,909.4963144963145,373.5662393162393,0.41073969554579554,PKA,ERK_example
17,all,990.589988751406,343.4820197044335,0.3467448930484116,PKA,ERK_example
18,1,736.2986557568673,447.4306878306878,0.6076755462370877,PKA,ERK_example
18,2,1115.095238095238,291.9424977538185,0.26180947400735316,PKA,ERK_example
18,3,1081.0378421900161,271.94812680115274,0.25156207876148695,PKA,ERK_example
18,4,907.4886811023622,369.70171673819743,0.4073898930498023,PKA,ERK_example
18,all,985.2800764560378,341.2091292483255,0.3463067379537638,PKA,ERK_example
19,1,734.6720835751596,439.8234064785789,0.5986662843349803,PKA,ERK_example
19,2,1111.7215759849905,291.1378378378378,0.26188017227235005,PKA,ERK_example
19,3,1076.4668552950686,275.52890173410407,0.25595669795014664,PKA,ERK_example
19,4,905.703373015873,384.4864864864865,0.4245170084839114,PKA,ERK_example
19,all,981.9390628519936,343.8518610421836,0.3501763745333471,PKA,ERK_example
20,1,734.0563866513234,433.20859538784066,0.5901571095431593,PKA,ERK_example
20,2,1104.4424083769634,285.82347670250897,0.258794369479656,PKA,ERK_example
20,3,1070.8188785800726,269.8132820019249,0.2519691120497453,PKA,ERK_example
20,4,901.4485798237023,365.6976241900648,0.4056777417760033,PKA,ERK_example
20,all,976.6469271241464,334.87781908302355,0.34288524315446456,PKA,ERK_example
21,1,732.7024082568807,431.13009404388714,0.5884109144250768,PKA,ERK_example
21,2,1100.9530428249436,292.50271002710025,0.2656813675509406,PKA,ERK_example
21,3,1071.2174796747968,276.60019267822736,0.2582110523086296,PKA,ERK_example
21,4,903.0539143279173,371.0395299145299,0.4108719579502292,PKA,ERK_example
21,all,975.3700685624368,339.4739970282318,0.34804635488617197,PKA,ERK_example
22,1,754.4867947178872,477.3255567338282,0.6326493188158537,PKA,ERK_example
22,2,1116.987208427389,315.9864743011722,0.2828917573246438,PKA,ERK_example
22,3,1090.7579927154998,298.74975845410626,0.273891881104032,PKA,ERK_example
22,4,920.3490427098675,387.27233584499464,0.4207885463809616,PKA,ERK_example
22,all,995.9172327898551,365.91857569721117,0.36741866055692834,PKA,ERK_example
23,1,754.0378027170702,472.09119170984457,0.6260842493688376,PKA,ERK_example
23,2,1122.0034000755572,321.31735985533453,0.2863782407733315,PKA,ERK_example
23,3,1096.3080048760667,302.89254598257503,0.27628416889723967,PKA,ERK_example
23,4,927.7328358208955,407.5800438596491,0.43932911299728417,PKA,ERK_example
23,all,999.8054704346839,372.39691235059763,0.37246936865497565,PKA,ERK_example
24,1,730.9994114184815,436.7010204081633,0.5974026977132014,PKA,ERK_example
24,2,1093.1084745762712,294.05405405405406,0.26900720367028547,PKA,ERK_example
24,3,1066.7305825242718,279.515444015444,0.26203002763266525,PKA,ERK_example
24,4,898.3167825223436,377.8438502673797,0.4206131485225611,PKA,ERK_example
24,all,971.7578054298642,344.0603299679882,0.3540597544424051,PKA,ERK_example
25,1,723.6049453709028,438.7961579509072,0.6064029285012565,PKA,ERK_example
25,2,1091.8682521706305,295.7522522522523,0.2708680755799042,PKA,ERK_example
25,3,1072.8556280587275,279.49854791868347,0.26051832195206037,PKA,ERK_example
25,4,895.7295968534906,363.6773504273504,0.40601243020758976,PKA,ERK_example
25,all,969.4910975884607,340.77714143426294,0.35150105275017124,PKA,ERK_example
26,1,726.8608490566038,443.0411946446962,0.6095268375229199,PKA,ERK_example
26,2,1081.3607357357357,290.65346534653463,0.2687849260115589,PKA,ERK_example
26,3,1067.8438266557646,278.83671497584544,0.2611212501448797,PKA,ERK_example
26,4,891.8988212180747,364.5701943844492,0.4087573452407441,PKA,ERK_example
26,all,965.9978511648948,341.1568142468464,0.3531651895865463,PKA,ERK_example
27,1,723.595473012188,434.09062170706005,0.5999078738014001,PKA,ERK_example
27,2,1082.1165413533834,292.20919747520287,0.2700348680648964,PKA,ERK_example
27,3,1071.317382413088,277.63856589147287,0.2591562224689252,PKA,ERK_example
27,4,891.2010789602747,360.9235737351991,0.4049855663957149,PKA,ERK_example
27,all,965.5706552385249,337.85344613087835,0.3499002836280463,PKA,ERK_example
28,1,730.5362058647517,454.16938110749186,0.6216931857194972,PKA,ERK_example
28,2,1084.1887291981845,294.7736699729486,0.2718840936401815,PKA,ERK_example
28,3,1074.7062679229823,276.20889748549325,0.2570087341346812,PKA,ERK_example
28,4,899.4584584584585,383.5867237687366,0.4264640797598909,PKA,ERK_example
28,all,971.8753712588531,347.43971985992994,0.3574941089513333,PKA,ERK_example
29,1,729.0611210494932,449.36041666666665,0.6163549305986943,PKA,ERK_example
29,2,1088.539408866995,300.19792605951307,0.2757804849453946,PKA,ERK_example
29,3,1081.2591450883683,284.65728155339804,0.2632646233296217,PKA,ERK_example
29,4,903.1348400203149,401.61134903640254,0.4446859220128955,PKA,ERK_example
29,all,975.4837118605185,355.2212992809323,0.36414887810215363,PKA,ERK_example
30,1,731.3031784841075,470.49050632911394,0.64335903380644,PKA,ERK_example
30,2,1086.9534795763993,297.19439421338154,0.2734196079202969,PKA,ERK_example
30,3,1085.3601485148515,285.7013618677043,0.26323185189602055,PKA,ERK_example
30,4,896.397341211226,365.133764832794,0.40733472540137117,PKA,ERK_example
30,all,975.5939324556382,350.9358942379646,0.3597151258973438,PKA,ERK_example
31,1,725.7626412849494,448.18278427205104,0.6175335554314999,PKA,ERK_example
31,2,1077.1187594553708,290.3535262206148,0.2695650072675624,PKA,ERK_example
31,3,1079.118762886598,279.69658536585365,0.25918980837445255,PKA,ERK_example
31,4,898.0973137354283,389.1198704103672,0.4332713888118794,PKA,ERK_example
31,all,969.4735756047231,347.6450725362681,0.35859159164747684,PKA,ERK_example
32,1,723.8597014925373,451.583864118896,0.6238555112099324,PKA,ERK_example
32,2,1086.5652503793626,295.4302536231884,0.27189370681608127,PKA,ERK_example
32,3,1082.704958677686,279.91317073170734,0.25853134640998315,PKA,ERK_example
32,4,896.5547226386807,380.3725701943844,0.424260293978372,PKA,ERK_example
32,all,972.3778057718736,347.9316987740806,0.3578153436954398,PKA,ERK_example
33,1,726.6645338208409,460.64600840336135,0.633918385945245,PKA,ERK_example
33,2,1084.5459377372817,296.416742081448,0.27330953145227804,PKA,ERK_example
33,3,1087.9281561461794,288.4051808406647,0.26509579627233504,PKA,ERK_example
33,4,903.3141772151898,393.5,0.43561809382103767,PKA,ERK_example
33,all,976.3140448140448,355.91504733432987,0.3645497565305637,PKA,ERK_example
34,1,727.3301029678983,454.4612970711297,0.6248349892527245,PKA,ERK_example
34,2,1086.2634980988594,298.40904977375567,0.27471147681572733,PKA,ERK_example
34,3,1093.9048608226008,286.6264591439689,0.2620213781008614,PKA,ERK_example
34,4,905.4704396159676,393.1829924650161,0.43423062229593573,PKA,ERK_example
34,all,978.7296642436829,354.4365355898457,0.3621393613973455,PKA,ERK_example
35,1,729.1016311166876,473.9227129337539,0.6500091245275323,PKA,ERK_example
35,2,1085.3374045801527,302.1733212341198,0.27841417789430306,PKA,ERK_example
35,3,1091.3666666666666,286.455078125,0.2624737284673651,PKA,ERK_example
35,4,899.4363314805457,391.4344262295082,0.4351997051143966,PKA,ERK_example
35,all,978.1259746305132,359.51603206412824,0.36755596046811384,PKA,ERK_example
36,1,725.8528875379939,462.2083780880773,0.6367796918957405,PKA,ERK_example
36,2,1087.9801753717118,301.75722021660647,0.2773554399679297,PKA,ERK_example
36,3,1092.579734219269,284.161923454367,0.2600834653568073,PKA,ERK_example
36,4,908.2627737226277,424.4086956521739,0.4672752290757026,PKA,ERK_example
36,all,979.8440772632069,363.1674208144796,0.3706379711237721,PKA,ERK_example
37,1,732.7488931056293,483.52780692549845,0.6598820025181472,PKA,ERK_example
37,2,1088.755351681957,303.71090909090907,0.2789523914823685,PKA,ERK_example
37,3,1092.461922596754,286.71065493646137,0.2624445291923379,PKA,ERK_example
37,4,906.2334530528476,410.8317046688382,0.45333981358209724,PKA,ERK_example
37,all,982.348227862908,366.916437327996,0.37350954266616865,PKA,ERK_example
38,1,735.1600241545893,460.9744728079911,0.6270396344497882,PKA,ERK_example
38,2,1090.4846860643186,306.19746376811594,0.2807902464666578,PKA,ERK_example
38,3,1099.3389051399915,289.93835616438355,0.2637388295900092,PKA,ERK_example
38,4,906.1361526560082,416.59174809989145,0.4597452015117203,PKA,ERK_example
38,all,982.9636046511628,363.06433637284704,0.36935684561962234,PKA,ERK_example
39,1,746.2712130735387,480.0021645021645,0.6432006971369862,PKA,ERK_example
39,2,1096.7281105990783,313.7680036463081,0.28609461234190037,PKA,ERK_example
39,3,1103.347599164927,291.60686274509806,0.264292832980107,PKA,ERK_example
39,4,910.9880705394191,422.9089935760171,0.46423109945402685,PKA,ERK_example
39,all,991.0894576191595,372.36767295597485,0.3757155018584231,PKA,ERK_example
40,1,753.4621409921671,502.9515418502203,0.6675206549700404,PKA,ERK_example
40,2,1097.9185867895546,312.8619436875568,0.2849591467454819,PKA,ERK_example
40,3,1101.6764459346186,297.33984375,0.269897613629879,PKA,ERK_example
40,4,915.0451948051948,421.40992448759437,0.4605345472332751,PKA,ERK_example
40,all,994.8320113649817,377.84444444444443,0.37980728417254533,PKA,ERK_example
41,1,763.995085995086,489.6557734204793,0.6409148205223256,PKA,ERK_example
41,2,1115.91637897967,331.8363636363636,0.2973666933178055,PKA,ERK_example
41,3,1121.1446488294314,311.71372549019605,0.2780316757660586,PKA,ERK_example
41,4,928.4099378881988,435.8468950749465,0.4694552236982109,PKA,ERK_example
41,all,1008.1135646687698,387.60146022155084,0.3844819411282328,PKA,ERK_example
42,1,758.8967560823456,478.5164654226125,0.6305422464748157,PKA,ERK_example
42,2,1098.7674818494459,311.91507720254316,0.28387723731824277,PKA,ERK_example
42,3,1104.968085106383,295.34916748285997,0.26729203446127103,PKA,ERK_example
42,4,913.7652329749104,414.18824163969794,0.4532764288823303,PKA,ERK_example
42,all,994.7698949824971,369.9118686868687,0.3718567183754362,PKA,ERK_example
43,1,758.395625,484.1347438752784,0.6383670051831831,PKA,ERK_example
43,2,1100.1390804597702,313.8216560509554,0.28525634769724123,PKA,ERK_example
43,3,1108.2835073068893,296.60333006856024,0.2676240583867403,PKA,ERK_example
43,4,920.4123548046463,439.9010752688172,0.4779391247547784,PKA,ERK_example
43,all,998.0463583951054,377.80724417426546,0.3785467889305194,PKA,ERK_example
44,1,768.7810333963453,482.87254901960785,0.6281015374252382,PKA,ERK_example
44,2,1099.7677888293802,314.90818181818184,0.2863406120971936,PKA,ERK_example
44,3,1112.1908861822762,305.8960591133005,0.27503917080576346,PKA,ERK_example
44,4,923.5106100795756,452.7988133764833,0.4903016905647324,PKA,ERK_example
44,all,1001.9832880595252,383.81439393939394,0.38305468615419913,PKA,ERK_example
45,1,770.4167178856792,474.9097065462754,0.6164322444217084,PKA,ERK_example
45,2,1100.6312763510923,313.91099000908264,0.2852099488302635,PKA,ERK_example
45,3,1110.9970649895179,299.9960668633235,0.2700241758659857,PKA,ERK_example
45,4,920.3079315707621,428.99781659388645,0.46614595167259076,PKA,ERK_example
45,all,1000.0019883040935,373.5826530612245,0.37358191026678306,PKA,ERK_example
